"componentId","componentType","layer","assemblyStep","quantityGroup","nameEn"
"PAV-RING-08","BEAM","3","4","RING_BEAM","Octagonal ring beam 8"
"PAV-CROSS-01","BEAM","3","4","CROSS_BEAM","Diametral support beam 1"
"PAV-CROSS-02","BEAM","3","4","CROSS_BEAM","Diametral support beam 2"
"PAV-CROSS-03","BEAM","3","4","CROSS_BEAM","Diametral support beam 3"
"PAV-CROSS-04","BEAM","3","4","CROSS_BEAM","Diametral support beam 4"
"PAV-DG-01","DOUGONG","4","5","DOUGONG","Column-head bracket set 1"
"PAV-DG-02","DOUGONG","4","5","DOUGONG","Column-head bracket set 2"
"PAV-DG-03","DOUGONG","4","5","DOUGONG","Column-head bracket set 3"
"PAV-DG-04","DOUGONG","4","5","DOUGONG","Column-head bracket set 4"
"PAV-DG-05","DOUGONG","4","5","DOUGONG","Column-head bracket set 5"
"PAV-DG-06","DOUGONG","4","5","DOUGONG","Column-head bracket set 6"
"PAV-DG-07","DOUGONG","4","5","DOUGONG","Column-head bracket set 7"
"PAV-DG-08","DOUGONG","4","5","DOUGONG","Column-head bracket set 8"
"PAV-PURLIN-01","PURLIN","5","6","EAVE_PURLIN","Octagonal eave purlin 1"
"PAV-PURLIN-02","PURLIN","5","6","EAVE_PURLIN","Octagonal eave purlin 2"
"PAV-PURLIN-03","PURLIN","5","6","EAVE_PURLIN","Octagonal eave purlin 3"
"PAV-PURLIN-04","PURLIN","5","6","EAVE_PURLIN","Octagonal eave purlin 4"
"PAV-PURLIN-05","PURLIN","5","6","EAVE_PURLIN","Octagonal eave purlin 5"
"PAV-PURLIN-06","PURLIN","5","6","EAVE_PURLIN","Octagonal eave purlin 6"
"PAV-PURLIN-07","PURLIN","5","6","EAVE_PURLIN","Octagonal eave purlin 7"
"PAV-PURLIN-08","PURLIN","5","6","EAVE_PURLIN","Octagonal eave purlin 8"
"PAV-KINGPOST-01","COLUMN","5","6","KINGPOST","Central kingpost"
"PAV-RAFTER-01","RAFTER","6","7","RAFTER","Radial rafter 1"
"PAV-RAFTER-02","RAFTER","6","7","RAFTER","Radial rafter 2"
"PAV-RAFTER-03","RAFTER","6","7","RAFTER","Radial rafter 3"
"PAV-RAFTER-04","RAFTER","6","7","RAFTER","Radial rafter 4"
"PAV-RAFTER-05","RAFTER","6","7","RAFTER","Radial rafter 5"
"PAV-RAFTER-06","RAFTER","6","7","RAFTER","Radial rafter 6"
"PAV-RAFTER-07","RAFTER","6","7","RAFTER","Radial rafter 7"
"PAV-RAFTER-08","RAFTER","6","7","RAFTER","Radial rafter 8"
"PAV-RAFTER-09","RAFTER","6","7","RAFTER","Radial rafter 9"
"PAV-RAFTER-10","RAFTER","6","7","RAFTER","Radial rafter 10"
"PAV-RAFTER-11","RAFTER","6","7","RAFTER","Radial rafter 11"
"PAV-RAFTER-12","RAFTER","6","7","RAFTER","Radial rafter 12"
"PAV-RAFTER-13","RAFTER","6","7","RAFTER","Radial rafter 13"
"PAV-RAFTER-14","RAFTER","6","7","RAFTER","Radial rafter 14"
"PAV-RAFTER-15","RAFTER","6","7","RAFTER","Radial rafter 15"
"PAV-RAFTER-16","RAFTER","6","7","RAFTER","Radial rafter 16"
"PAV-ROOF-01","ROOF_PANEL","7","8","ROOF_PANEL","Pyramidal roof sector 1"
"PAV-ROOF-02","ROOF_PANEL","7","8","ROOF_PANEL","Pyramidal roof sector 2"
"PAV-ROOF-03","ROOF_PANEL","7","8","ROOF_PANEL","Pyramidal roof sector 3"
"PAV-ROOF-04","ROOF_PANEL","7","8","ROOF_PANEL","Pyramidal roof sector 4"
"PAV-ROOF-05","ROOF_PANEL","7","8","ROOF_PANEL","Pyramidal roof sector 5"
"PAV-ROOF-06","ROOF_PANEL","7","8","ROOF_PANEL","Pyramidal roof sector 6"
"PAV-ROOF-07","ROOF_PANEL","7","8","ROOF_PANEL","Pyramidal roof sector 7"
"PAV-ROOF-08","ROOF_PANEL","7","8","ROOF_PANEL","Pyramidal roof sector 8"
"PAV-RIDGE-01","RIDGE","8","9","HIP_RIDGE","Hip ridge 1"
"PAV-RIDGE-02","RIDGE","8","9","HIP_RIDGE","Hip ridge 2"
"PAV-RIDGE-03","RIDGE","8","9","HIP_RIDGE","Hip ridge 3"
"PAV-RIDGE-04","RIDGE","8","9","HIP_RIDGE","Hip ridge 4"
"PAV-RIDGE-05","RIDGE","8","9","HIP_RIDGE","Hip ridge 5"
"PAV-RIDGE-06","RIDGE","8","9","HIP_RIDGE","Hip ridge 6"
"PAV-RIDGE-07","RIDGE","8","9","HIP_RIDGE","Hip ridge 7"
"PAV-RIDGE-08","RIDGE","8","9","HIP_RIDGE","Hip ridge 8"
"PAV-RAIL-01","ENCLOSURE","2","3","RAILING","Perimeter railing bay 1"
"PAV-RAIL-02","ENCLOSURE","2","3","RAILING","Perimeter railing bay 2"
"PAV-RAIL-03","ENCLOSURE","2","3","RAILING","Perimeter railing bay 3"
"PAV-RAIL-04","ENCLOSURE","2","3","RAILING","Perimeter railing bay 4"
"PAV-RAIL-05","ENCLOSURE","2","3","RAILING","Perimeter railing bay 5"
"PAV-RAIL-06","ENCLOSURE","2","3","RAILING","Perimeter railing bay 6"
"PAV-RAIL-07","ENCLOSURE","2","3","RAILING","Perimeter railing bay 7"
"PAV-RAIL-08","ENCLOSURE","2","3","RAILING","Perimeter railing bay 8"
"PAV-FINIAL-01","RIDGE","9","10","FINIAL","Finial base"
"PAV-FINIAL-02","RIDGE","9","10","FINIAL","Finial stem"
"PAV-FINIAL-03","RIDGE","9","10","FINIAL","Finial pearl"
